ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.9,0.05,0.5128543177323666,0.6779956427015251,0.5219127293468961,0.68586420138672,-39825532912.74045,-39160228827.32115,1.2059059143066406
0.0,0.0,0.8,0.05,0.8527796088771699,0.8743907011623547,0.8579712900465823,0.8801540189314937,-12.533329047384008,-594.2892496696865,1.1295719146728516
0.0,0.0,0.7,0.05,0.9083717864205669,0.917864880835139,0.9111132236904649,0.9214351735148306,-10.636472045743682,-479.93352659308516,1.0510799884796143
0.0,0.0,0.6,0.05,0.9325422983959569,0.9381671701913392,0.9338340146401749,0.9402575107296137,-9.396646957082016,-380.94626183503885,1.3491930961608887
0.0,0.0,0.5,0.05,0.9527576356844649,0.9558612194621228,0.9498051145546155,0.9539588419951168,-8.15723682082563,-292.81433334812783,1.1400129795074463
0.0,0.0,0.4,0.05,0.959569325422984,0.9619677552707732,0.9573153341572392,0.960555213915488,-7.457196547698948,-215.14196693679057,1.0787451267242432
0.0,0.0,0.29999999999999993,0.05,0.961986376620523,0.9641896087766507,0.9613081091358494,0.9641188398131006,-6.651491181159348,-144.63497316733836,1.3997368812561035
0.0,0.0,0.19999999999999996,0.05,0.968798066359042,0.9703919933277732,0.9662515448236524,0.9685534591194969,-5.693039062865109,-82.64971610615464,1.2434930801391602
0.0,0.0,0.1,0.05,0.972313777191826,0.9736401673640168,0.9678676680292804,0.9699928977272727,-5.08687321103836,-25.43436603332919,1.0988469123840332
0.0,1.0,0.9,0.05,0.940232915842672,0.9462238038750496,0.9446715467249739,0.9490189208128943,-10.751133673146489,-606.6536460105752,1.0776309967041016
0.0,1.0,0.8,0.05,0.9397934519885739,0.9458283906682482,0.9449567449377317,0.9492683781652501,-9.595439379797426,-505.8395745332225,1.0916290283203125
0.0,1.0,0.7,0.05,0.952098439903318,0.9563999999999999,0.9565548055898849,0.9595109417914416,-8.594509590039426,-415.8123981189596,1.2627971172332764
0.0,1.0,0.6,0.05,0.9582509338606899,0.9617860016090104,0.9633995626960737,0.9656770972630828,-7.884723076492967,-333.9265967626997,1.066821813583374
0.0,1.0,0.5,0.05,0.962425840474621,0.9654475651646798,0.9671071394619261,0.9690241718889884,-7.034686447803869,-258.78598617800935,1.0790150165557861
0.0,1.0,0.4,0.05,0.96923753021314,0.9715562779357984,0.9713851126532941,0.9729486833827626,-6.432313866825779,-191.44714926829812,1.0906760692596436
0.0,1.0,0.29999999999999993,0.05,0.974291364535267,0.9760980592441266,0.9782298697594829,0.9792741424563308,-5.660055711885192,-127.97266461297423,1.0961439609527588
0.0,1.0,0.19999999999999996,0.05,0.977367611513953,0.9788631233326492,0.9808917197452229,0.9817521561507037,-5.034629228619339,-73.638077561931,1.284214973449707
0.0,1.0,0.1,0.05,0.979564930784443,0.9808917197452229,0.9821275786671737,0.9828997635073677,-4.126485243647699,-20.63242621945076,1.0769648551940918
0.0,2.0,0.9,0.05,0.9171610635025269,0.9274860550105789,0.9163418575910257,0.9248120300751881,-10.97089434689913,-610.5746569301258,1.0819242000579834
0.0,2.0,0.8,0.05,0.957372006152494,0.9612928970470871,0.9525620306112749,0.9558836530810715,-9.063314052027446,-514.5252044455375,1.0704751014709473
0.0,2.0,0.7,0.05,0.962865304328719,0.9661118909163825,0.9603574484266565,0.962844159315691,-8.502871897816071,-426.24953597843944,1.0829429626464844
